"Experience / Skill Area,All Employers,Employers under 50 employees,Employers 50+ employees"
"Completion of an internship or apprenticeship,49%,51%,48%"
"Completion of a major research project,47%,52%,45%"
"Multiple courses with significant writing,46%,51%,45%"
"Completion of a portfolio of work,45%,51%,43%"
"Completion of a service-learning experience,44%,51%,43%"
"Completion of a study abroad program,43%,49%,42%"
"Completion of multiple science courses,43%,46%,42%"
"Completion of a senior thesis,42%,49%,40%"
"Completion of a collaborative research project,41%,47%,40%"
"Completion of an industry certification,40%,50%,38%"
